time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.002;0;0.005;0.002;-0.002;0.046;0.027;0.056;0.024;0.01
0.5;-0.007;-0.007;-0.007;0.002;-0.005;0.051;0.022;0.039;0.056;0.015
1;-0.002;-0.002;0;0.005;-0.002;0.037;0.024;0.046;0.039;0.01
1.5;-0.002;-0.002;-0.002;0.002;-0.007;0.051;0.029;0.046;0.042;0.01
2;-0.002;-0.002;-0.005;0.002;-0.005;0.042;0.027;0.042;0.027;0.012
2.5;-0.005;-0.005;-0.002;0.002;-0.002;0.039;0.024;0.044;-0.005;-0.005
3;-0.005;-0.002;-0.007;0.002;-0.007;0.044;0.022;0.042;0.02;0.022
3.5;-0.005;-0.005;-0.007;0;-0.005;0.044;0.022;0.049;0.027;-0.002
4;-0.007;-0.005;-0.005;0;-0.002;0.034;0.015;0.037;0.012;0.005
4.5;-0.002;-0.005;-0.005;0;-0.002;0.037;0.022;0.051;0;-0.042
5;-0.002;0;-0.007;0.002;-0.005;0.049;0.017;0.044;0.032;0.012
5.5;-0.007;-0.005;-0.005;0.002;-0.002;0.017;0.005;0.027;0.061;0.073
6;-0.005;-0.005;-0.005;0.002;-0.002;0.034;0.01;0.029;0.01;0.02
6.5;-0.005;-0.002;-0.01;0.002;-0.005;0.029;-0.002;0.017;0.037;0.034
7;-0.005;-0.002;0.005;0.005;-0.007;0.037;0.022;0.044;0.042;0.002
7.5;0;0;-0.007;0.007;0;0.039;0.027;0.046;-0.017;0.02
8;0;0;0;0.002;-0.007;0.042;0.017;0.037;0.022;0.042
8.5;-0.002;-0.002;-0.005;0.002;-0.005;0.02;-0.005;0.024;0.024;0.027
9;0;-0.002;0;0.005;-0.002;0.024;-0.029;-0.01;0.032;0.005
9.5;0;-0.002;-0.007;0.005;-0.005;0.01;0.01;0.024;0.054;0.02
10;-0.005;-0.005;-0.005;0.002;-0.002;0.042;0.005;0.029;0.061;0.039
10.5;-0.002;-0.007;-0.01;0;0;0.059;0.027;0.044;0.044;0.032
11;-0.005;-0.005;-0.005;0.005;-0.005;0.029;0.005;0.032;-0.002;0.029
11.5;-0.002;-0.005;-0.007;0.002;-0.005;0.027;0.017;0.039;0.029;0
12;0;-0.002;0;0.005;-0.002;0.042;0.015;0.042;0.076;0.037
12.5;-0.005;-0.005;-0.002;0;-0.002;0.029;0.012;0.032;0.024;0.039
13;-0.002;-0.005;-0.002;0.002;-0.002;0.007;-0.005;0.015;0.01;0.066
13.5;-0.005;-0.002;-0.012;0.005;-0.002;0.022;-0.007;0.02;0.046;0.044
14;-0.005;-0.005;-0.002;0.002;-0.002;0.037;0.017;0.034;0.034;0.066
14.5;-0.002;0;0.002;0.005;-0.005;0.027;0.005;0.029;0.022;0.051
15;-0.005;-0.005;-0.007;0.005;-0.005;0.044;0.015;0.029;0.017;0.012
15.5;-0.007;-0.002;-0.005;0.002;-0.005;0.039;0.022;0.044;0.024;0.015
16;-0.002;-0.002;-0.01;0.007;0;0.029;0;0.032;0.022;-0.022
16.5;-0.002;-0.002;-0.002;0.002;-0.007;0.042;0.017;0.039;0.015;0.002
17;-0.007;-0.005;-0.005;0.002;-0.002;0.029;0.005;0.015;0.032;0.027
17.5;-0.005;-0.007;-0.005;0.002;-0.002;0.063;0.039;0.076;0.002;-0.012
18;-0.005;-0.005;-0.007;0.002;-0.005;0.061;0.042;0.066;0.024;0.012
18.5;-0.005;-0.005;-0.005;0.002;-0.002;0.039;0.02;0.042;0.007;0.034
19;-0.007;-0.005;-0.005;0.002;-0.005;0.046;0.022;0.044;0.046;0.032
19.5;-0.007;-0.005;-0.007;0.002;0;0.059;0.054;0.066;0.015;-0.005
20;-0.005;-0.002;-0.002;0.002;-0.002;0.051;0.027;0.051;0.042;0.032
20.5;-0.005;-0.005;-0.002;0.002;-0.002;0.029;0.005;0.027;0.01;0.039
21;-0.005;-0.005;-0.005;0.002;-0.002;0.037;0.015;0.037;0.032;0.027
21.5;-0.002;-0.002;0.002;0;-0.002;0.056;0.027;0.037;0.056;0.005
22;-0.002;-0.002;0;0.002;-0.005;0.042;0.01;0.029;0.066;0.051
22.5;0;-0.002;-0.002;0.002;-0.002;0.032;0.01;0.032;0.007;0.005
23;-0.002;-0.002;-0.012;0.005;-0.005;0.034;0.01;0.034;0.02;0.005
23.5;-0.002;-0.002;-0.005;0.005;-0.005;0.051;0.037;0.061;0.012;-0.029
24;-0.005;-0.002;-0.005;0.005;-0.005;0.073;0.029;0.066;0.01;-0.032
24.5;0;-0.002;0;0.002;-0.005;0.071;0.044;0.068;0.005;-0.037
25;-0.002;-0.002;0;0.002;-0.005;0.063;0.037;0.068;-0.007;0.002
25.5;-0.007;-0.005;-0.01;0.002;-0.002;0.056;0.024;0.049;0;0.054
26;-0.005;-0.005;-0.005;0.005;-0.002;0.044;0.01;0.034;0.037;0.046
26.5;-0.002;-0.002;-0.005;0.005;-0.005;0.037;0.01;0.027;0.015;0.027
27;-0.005;-0.002;-0.005;0;-0.002;0.056;0.037;0.049;0.029;0
27.5;-0.005;-0.007;0;0.002;-0.005;0.034;0.017;0.029;0.039;0.046
28;-0.005;-0.002;-0.002;0.002;-0.005;0.039;0.012;0.029;0.015;0.022
28.5;0;-0.005;0.002;0.002;-0.005;0.027;0.01;0.029;0.049;0.037
29;-0.007;-0.002;0;0.002;-0.002;0.046;0.017;0.039;0;0.015
29.5;0;-0.005;-0.002;0;-0.002;0.029;0.005;0.027;-0.022;0.02
30;-0.002;0;0.002;0.002;-0.002;0.044;0.007;0.034;0.059;0.02
30.5;0.002;-0.002;-0.005;0;-0.002;0.059;0.015;0.044;0.024;0.034
31;-0.002;0.002;0.002;0.002;0;-0.002;-0.002;0.02;0.007;0.005
31.5;-0.005;-0.005;-0.002;0.002;-0.007;0.037;-0.002;0.022;-0.012;-0.01
32;-0.005;-0.002;-0.007;0.002;-0.002;0.049;0.022;0.049;0.012;0.029
32.5;-0.005;-0.002;-0.002;0.005;-0.005;0.01;-0.017;0.007;0.046;0.056
33;-0.002;-0.002;0.002;0.007;-0.002;0.024;0.02;0.037;-0.002;0.032
33.5;-0.005;-0.005;-0.002;0.002;-0.005;0.027;0.007;0.024;0.039;0.054
34;0;-0.002;0;0.005;-0.005;0.039;0.022;0.051;-0.017;0.022
34.5;-0.002;-0.002;-0.01;0.002;-0.005;0.037;0.015;0.034;0.01;0.02
35;-0.002;0;0.01;0.005;-0.002;0.049;0.017;0.044;0.024;0.01
35.5;-0.005;-0.005;-0.005;0.002;-0.002;0.012;-0.015;0.015;0.046;0.029
36;-0.002;0;-0.007;0.005;-0.002;0.039;0.012;0.032;0.01;0.02
36.5;0;-0.002;0.002;0.002;-0.002;0.061;0.034;0.054;0.032;0.01
37;-0.005;-0.002;-0.002;0.002;0;0.034;0.017;0.037;0.02;0.063
37.5;-0.005;-0.005;0;0.005;-0.007;-0.005;-0.017;0.007;0.037;0.039
38;-0.002;-0.002;-0.01;0.005;-0.002;0.039;0.01;0.049;0.029;0.042
38.5;-0.002;0;-0.01;0.007;-0.005;0.037;0.015;0.034;0.022;0.042
39;-0.005;0;0;0.005;-0.002;0.039;0.017;0.049;0.029;0.007
39.5;-0.002;-0.002;-0.005;0.005;-0.005;0.027;0.017;0.042;0.01;0
40;-0.002;0;-0.005;0.002;-0.002;0.066;0.046;0.063;0.007;-0.024
40.5;0;-0.002;-0.005;0.005;0;0.039;0.017;0.042;0.015;0.034
41;-0.002;0;-0.005;0.005;-0.002;0.022;0.005;0.027;0.012;0.024
41.5;-0.002;-0.005;-0.002;0.002;0.002;0.039;-0.007;0.01;0.085;0.044
42;-0.002;-0.002;0;0.005;-0.005;0.044;0.051;0.059;0.02;-0.024
42.5;0;-0.002;-0.002;0.002;-0.005;0.042;0.015;0.039;-0.002;-0.012
43;-0.005;-0.005;0.002;0.005;0;0.063;0.029;0.044;-0.02;-0.017
43.5;-0.002;-0.005;-0.005;0.005;-0.005;0.049;0.024;0.042;0.007;-0.012
44;0;-0.002;-0.005;0.005;-0.005;0.024;0.015;0.034;0.032;0.012
44.5;-0.002;-0.005;-0.005;0.005;-0.005;0.029;0.007;0.037;0.051;0.046
45;0.002;0;0.002;0.002;-0.002;0.054;0.024;0.049;0.022;0.027
45.5;-0.002;-0.002;-0.005;0.002;-0.005;0.037;0.012;0.024;0.017;0.029
46;0;-0.002;-0.005;0.005;-0.005;0.029;-0.005;0.017;0.032;0.027
46.5;-0.002;0.002;0;0.002;0;0.017;-0.01;0.024;0.083;0.039
47;0;-0.002;-0.002;0.002;-0.002;0.037;0.01;0.032;0.015;0.032
47.5;-0.005;-0.005;0;0.002;-0.005;0.042;0.017;0.042;0.015;0.022
48;0;-0.002;0;0.002;-0.005;0.024;-0.007;0.015;0.073;0.073
48.5;-0.002;-0.002;-0.005;0.002;-0.005;0.015;-0.002;0.022;0.049;0.068
49;-0.002;0;0;0.002;-0.005;0.037;0.017;0.039;0.024;0.002
49.5;-0.005;0;-0.002;0.002;-0.005;0.015;0.01;0.032;0.012;-0.029
50;0;-0.002;-0.002;0.007;-0.005;0.037;0.022;0.039;0.027;0.01
50.5;-0.002;-0.005;-0.007;0;-0.007;0.029;0.024;0.039;0.027;0.005
51;0;-0.005;-0.007;0.005;0;0.029;0.012;0.029;-0.005;0.002
51.5;-0.007;-0.005;0;0.002;-0.002;0.039;0.012;0.034;0.005;0.027
52;-0.005;-0.005;-0.005;0.002;-0.005;0.017;0;0.027;0.002;-0.002
52.5;-0.002;-0.002;-0.005;0.005;-0.002;0.049;0.017;0.044;0.024;-0.007
53;-0.002;-0.002;-0.007;0.002;-0.005;0.027;0.015;0.049;0.049;0.051
53.5;-0.002;-0.005;-0.007;0.002;-0.007;0.034;0.002;0.027;0.022;0.049
54;-0.005;-0.002;0.002;0.005;-0.002;0.017;0.01;0.032;-0.002;-0.022
54.5;-0.002;-0.002;0.002;0.002;-0.005;0.046;0.024;0.042;-0.002;-0.032
55;-0.002;-0.002;0;0.005;-0.002;0.056;0.042;0.066;-0.017;-0.044
55.5;-0.005;-0.002;-0.012;0.005;-0.002;0.027;-0.005;0.027;-0.007;-0.015
56;-0.005;-0.002;-0.015;0.002;-0.002;0.027;0.005;0.027;0.012;-0.015
56.5;-0.002;-0.005;-0.005;0.005;-0.005;0.029;0.02;0.042;0.012;0.002
57;-0.002;-0.005;-0.007;0.002;0;0.029;0.005;0.015;0.056;0.027
57.5;-0.005;-0.007;-0.005;0.002;-0.002;0.059;0.039;0.054;0.037;0
