time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10;ch 11;ch 12;ch 13;ch 14
0;-0.005;-0.005;-0.002;0.002;-0.005;-0.005;0;0.005;0.024;0.01;0.007;0.034;0.01;0.02
1;-0.005;-0.005;-0.007;0.002;-0.005;-0.005;0;0.005;0.022;0.012;0.01;0.037;0.007;0.015
2;-0.005;-0.007;-0.005;0.002;-0.005;-0.002;0.002;0.005;0.022;0.012;0.01;0.039;0.007;0.02
3;-0.007;-0.005;-0.005;0.005;-0.005;-0.005;0;0.002;0.02;0.012;0.007;0.034;0.007;0.017
4;-0.007;-0.002;-0.005;0.005;-0.005;-0.005;0;0.005;0.024;0.012;0.007;0.034;0.005;0.017
5;-0.005;-0.005;-0.005;0.002;-0.002;-0.005;0;0.007;0.022;0.012;0.007;0.034;0.007;0.015
6;-0.005;-0.002;-0.007;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.01;0.034;0.007;0.022
7;-0.007;-0.005;-0.005;0.002;-0.002;-0.005;0;0.005;0.022;0.012;0.007;0.034;0.005;0.01
8;-0.005;-0.005;-0.007;0.002;-0.005;-0.005;0;0.005;0.024;0.012;0.007;0.037;0.007;0.015
9;-0.005;-0.002;-0.002;0.002;-0.005;-0.002;0.002;0.005;0.022;0.012;0.01;0.037;0.007;0.017
10;-0.002;-0.005;-0.005;0.002;-0.002;-0.002;0;0.005;0.022;0.012;0.007;0.034;0.007;0.017
11;-0.007;-0.005;-0.007;0.005;-0.005;-0.005;0;0.007;0.024;0.012;0.007;0.034;0.007;0.015
12;-0.007;-0.007;-0.007;0.005;-0.002;-0.005;0;0.005;0.022;0.01;0.007;0.032;0.01;0.017
13;-0.007;-0.005;-0.002;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.01;0.034;0.005;0.017
14;-0.005;-0.005;-0.007;0.002;-0.005;-0.002;-0.002;0.002;0.024;0.012;0.007;0.037;0.007;0.015
15;-0.005;-0.005;-0.005;0.002;-0.005;-0.005;-0.002;0.005;0.022;0.012;0.007;0.034;0.007;0.017
16;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0.002;0.005;0.022;0.012;0.007;0.034;0.007;0.017
17;-0.007;-0.002;-0.002;0.002;-0.002;-0.002;0;0.007;0.022;0.012;0.007;0.034;0.007;0.017
18;-0.005;-0.005;-0.005;0.005;-0.002;0;0;0.005;0.022;0.01;0.007;0.034;0.005;0.015
19;-0.005;-0.005;-0.007;0.005;-0.005;-0.002;0;0.002;0.022;0.01;0.01;0.034;0.005;0.015
20;-0.005;-0.005;-0.002;0.002;-0.002;-0.005;0;0.005;0.022;0.012;0.007;0.034;0.012;0.02
21;-0.005;-0.005;-0.007;0.002;-0.005;0;0;0.005;0.022;0.01;0.007;0.034;0.005;0.017
22;-0.005;-0.002;-0.005;0.002;-0.005;-0.005;-0.002;0.007;0.024;0.012;0.007;0.034;0.007;0.017
23;-0.005;-0.005;-0.005;0;-0.002;0;0;0.005;0.022;0.012;0.01;0.032;0.01;0.015
24;-0.002;-0.005;-0.005;0.005;-0.002;-0.005;0;0.005;0.024;0.012;0.007;0.034;0.005;0.017
25;-0.005;-0.005;-0.007;0.002;-0.005;-0.005;0;0.002;0.024;0.012;0.007;0.032;0.007;0.02
26;-0.002;-0.002;-0.005;0.005;-0.005;-0.002;0;0.007;0.027;0.015;0.007;0.034;0.002;0.012
27;-0.005;-0.005;-0.005;0.002;-0.005;0;0;0.005;0.022;0.012;0.007;0.034;0.007;0.017
28;-0.005;-0.002;-0.005;0.002;-0.005;-0.002;-0.002;0.002;0.022;0.012;0.007;0.034;0.007;0.017
29;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.007;0.034;0.007;0.015
30;-0.002;-0.005;-0.005;0.002;-0.005;-0.005;0;0.005;0.027;0.02;0.012;0.037;0.005;0.017
31;-0.005;-0.005;-0.005;0.005;-0.002;-0.005;0;0.005;0.024;0.012;0.007;0.034;0.005;0.015
32;-0.005;-0.002;-0.007;0.002;-0.002;-0.002;0;0.005;0.022;0.012;0.007;0.032;0.007;0.017
33;-0.005;-0.002;-0.002;0.002;-0.002;0;0;0.005;0.022;0.012;0.01;0.032;0.007;0.017
34;-0.007;0;-0.005;0.005;-0.005;-0.002;0;0.005;0.022;0.015;0.007;0.037;0.007;0.02
35;-0.007;-0.002;-0.005;0.002;-0.005;-0.002;0;0.002;0.022;0.012;0.01;0.034;0.007;0.015
36;-0.002;-0.002;-0.005;0.005;-0.002;-0.002;0;0.002;0.022;0.012;0.007;0.034;0.005;0.015
37;-0.002;0;-0.005;0.005;-0.005;-0.002;-0.002;0.002;0.022;0.012;0.007;0.034;0.005;0.017
38;-0.005;-0.005;-0.005;0.007;-0.002;-0.005;-0.002;0.007;0.02;0.012;0.007;0.034;0.005;0.017
39;-0.002;-0.005;-0.005;0.002;-0.002;-0.002;0;0.007;0.02;0.012;0.007;0.032;0.007;0.017
40;-0.005;-0.002;-0.002;0.007;-0.005;-0.005;0;0.005;0.027;0.015;0.01;0.034;0.007;0.015
41;-0.005;-0.002;-0.002;0.007;-0.005;-0.002;0.002;0.002;0.022;0.012;0.007;0.034;0.007;0.015
42;-0.005;-0.005;-0.005;0.005;-0.005;-0.002;0;0.005;0.024;0.012;0.007;0.032;0.007;0.017
43;-0.002;-0.002;-0.005;0.002;-0.002;-0.002;0;0.007;0.024;0.012;0.007;0.032;0.007;0.015
44;-0.005;-0.005;-0.005;0.002;-0.002;-0.002;-0.002;0.005;0.024;0.01;0.007;0.034;0.005;0.015
45;-0.007;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.024;0.012;0.007;0.032;0.002;0.015
46;-0.002;-0.005;-0.002;0.002;-0.002;-0.002;0.002;0.005;0.024;0.012;0.007;0.032;0.007;0.02
47;-0.005;-0.005;-0.005;0.005;-0.002;-0.005;0;0.005;0.027;0.015;0.01;0.032;0.002;0.012
48;-0.005;-0.005;0;0.005;-0.002;-0.005;0;0.005;0.024;0.012;0.007;0.034;0.007;0.02
49;-0.005;-0.005;-0.002;0.005;-0.002;-0.005;0;0.005;0.027;0.015;0.01;0.032;0.005;0.02
50;-0.007;-0.002;-0.005;0.002;-0.005;-0.002;0;0.002;0.024;0.012;0.005;0.032;0.005;0.015
51;-0.007;-0.005;-0.002;0.005;-0.002;-0.002;0;0.005;0.027;0.012;0.01;0.029;0.007;0.017
52;-0.007;-0.002;-0.005;0.007;-0.005;-0.002;0;0.005;0.024;0.01;0.005;0.032;0.005;0.012
53;-0.005;-0.005;-0.005;0.002;-0.002;-0.005;-0.002;0.005;0.022;0.012;0.01;0.029;0.007;0.017
54;-0.005;-0.005;-0.007;0.002;-0.002;-0.005;0;0.002;0.024;0.012;0.01;0.032;0.007;0.015
55;-0.005;-0.005;-0.002;0.002;-0.005;-0.002;0.002;0.005;0.022;0.012;0.007;0.032;0.01;0.017
56;-0.007;-0.007;-0.005;0.005;-0.005;-0.002;-0.002;0.005;0.024;0.015;0.01;0.032;0.007;0.015
57;-0.007;-0.005;-0.005;0.002;-0.002;-0.005;0;0.005;0.024;0.012;0.007;0.034;0.005;0.015
58;-0.005;-0.005;-0.005;0;-0.005;-0.002;0;0.005;0.024;0.012;0.007;0.034;0.007;0.015
59;-0.007;-0.005;-0.005;0;-0.002;-0.005;0.002;0.005;0.024;0.012;0.007;0.034;0.007;0.015
60;-0.005;-0.007;-0.005;0.005;-0.005;-0.005;0;0.005;0.024;0.01;0.01;0.034;0.007;0.012
61;-0.005;-0.002;-0.005;0.002;-0.002;-0.002;0;0.005;0.027;0.012;0.01;0.034;0.01;0.015
62;-0.007;-0.005;-0.007;0.002;-0.002;-0.005;0;0.005;0.024;0.012;0.007;0.034;0.01;0.017
63;-0.01;-0.007;-0.007;0.002;-0.005;-0.002;0;0.005;0.024;0.015;0.007;0.032;0.01;0.015
64;-0.007;-0.005;-0.005;0;-0.005;-0.005;-0.002;0.005;0.024;0.01;0.01;0.034;0.005;0.012
65;-0.007;-0.005;-0.005;0;-0.002;-0.007;0;0.007;0.024;0.012;0.01;0.032;0.007;0.017
66;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.024;0.015;0.01;0.037;0.007;0.017
67;-0.005;-0.005;-0.002;0.002;-0.002;-0.002;0;0.005;0.022;0.012;0.007;0.034;0.007;0.012
68;-0.005;-0.005;-0.005;0.002;-0.005;-0.005;0;0.005;0.024;0.012;0.005;0.032;0.005;0.012
69;-0.007;-0.005;-0.002;0.002;-0.005;-0.002;-0.002;0.005;0.024;0.012;0.007;0.034;0.007;0.012
70;-0.007;-0.007;-0.007;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.007;0.034;0.007;0.015
71;-0.007;-0.007;-0.005;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.01;0.034;0.005;0.015
72;-0.005;-0.002;-0.002;0.002;-0.005;-0.005;0;0.005;0.022;0.012;0.007;0.034;0.007;0.015
73;-0.005;-0.005;-0.007;0.002;-0.002;0;0;0.005;0.022;0.012;0.01;0.034;0.007;0.015
74;-0.005;-0.005;-0.002;0.002;-0.005;-0.005;0;0.005;0.024;0.012;0.007;0.032;0.007;0.015
75;-0.005;-0.005;-0.005;0.005;-0.005;-0.002;-0.002;0.002;0.024;0.01;0.005;0.032;0.01;0.015
76;-0.005;-0.002;-0.005;0.002;-0.002;-0.002;0;0.002;0.022;0.012;0.007;0.034;0.007;0.012
77;-0.005;-0.005;-0.005;0;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.032;0.01;0.012
78;-0.005;-0.005;-0.005;0.002;-0.005;-0.005;0;0.005;0.024;0.012;0.01;0.037;0.007;0.015
79;-0.007;-0.005;-0.005;0.005;-0.005;-0.002;0;0.005;0.024;0.01;0.007;0.034;0.007;0.015
80;-0.005;-0.005;-0.005;0.002;-0.002;-0.005;-0.002;0.005;0.022;0.012;0.007;0.034;0.007;0.015
81;-0.007;-0.005;-0.002;0.002;-0.005;-0.005;0;0.005;0.027;0.015;0.01;0.034;0.007;0.015
82;-0.007;-0.005;-0.005;0;-0.002;-0.007;0;0.005;0.022;0.01;0.005;0.037;0.007;0.015
83;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.01;0.034;0;0.01
84;-0.005;-0.007;-0.005;0.002;-0.005;-0.005;0;0.005;0.024;0.012;0.007;0.034;0.007;0.015
85;-0.002;-0.007;-0.005;0.002;-0.005;-0.005;0;0.01;0.024;0.012;0.01;0.034;0.007;0.015
86;-0.005;-0.002;-0.002;0.005;-0.005;-0.002;0;0.005;0.022;0.012;0.01;0.034;0.007;0.015
87;-0.007;-0.002;-0.005;0;-0.005;-0.005;0;0.005;0.022;0.01;0.01;0.034;0.007;0.017
88;-0.005;-0.005;-0.002;0.002;-0.002;-0.002;-0.002;0.005;0.022;0.012;0.01;0.034;0.007;0.015
89;-0.005;-0.005;-0.005;0.002;-0.002;-0.002;0.002;0.007;0.022;0.012;0.007;0.032;0.007;0.015
90;-0.005;-0.002;-0.002;0.002;-0.005;-0.002;-0.002;0.007;0.024;0.012;0.01;0.034;0.007;0.015
91;-0.005;-0.002;-0.005;0.005;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.034;0.005;0.012
92;-0.005;-0.005;-0.002;0.002;-0.002;-0.005;0;0.005;0.022;0.012;0.007;0.032;0.007;0.015
93;-0.007;-0.002;-0.007;0.002;-0.002;-0.005;0;0.007;0.024;0.015;0.007;0.034;0.005;0.012
94;-0.005;-0.005;0;0.002;-0.005;-0.002;0.002;0.005;0.022;0.012;0.007;0.034;0.007;0.015
95;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.034;0.01;0.017
96;-0.005;-0.005;-0.002;0.002;-0.002;-0.005;0;0.005;0.022;0.012;0.01;0.034;0.005;0.017
97;-0.005;-0.002;-0.002;0.002;-0.005;-0.002;0;0.007;0.029;0.015;0.01;0.034;0.007;0.017
98;-0.007;-0.002;-0.005;0.002;-0.005;-0.002;0;0.005;0.02;0.012;0.01;0.034;0.005;0.015
99;-0.005;-0.005;-0.005;0.002;-0.002;-0.002;0.002;0.007;0.024;0.012;0.007;0.034;0.01;0.017
100;-0.005;-0.002;-0.002;0.002;-0.002;-0.002;0.002;0.005;0.022;0.012;0.007;0.037;0.007;0.017
101;-0.005;-0.002;-0.002;0.005;-0.002;-0.002;0;0.005;0.022;0.012;0.01;0.034;0.007;0.017
102;-0.002;-0.005;-0.005;0.002;-0.002;-0.005;0.002;0.007;0.022;0.012;0.01;0.034;0.002;0.01
103;-0.005;-0.007;-0.005;0.005;-0.002;-0.002;0;0.007;0.024;0.012;0.007;0.034;0.007;0.017
104;-0.005;-0.005;-0.005;0.005;-0.005;-0.002;0;0.005;0.022;0.012;0.007;0.037;0.007;0.015
105;-0.005;-0.005;-0.005;0.002;-0.002;-0.002;0;0.005;0.022;0.015;0.007;0.037;0.01;0.015
106;-0.007;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.024;0.015;0.01;0.037;0.007;0.017
107;-0.007;-0.005;-0.002;0.005;-0.005;-0.002;-0.002;0.005;0.022;0.012;0.007;0.034;0.007;0.015
108;-0.005;-0.005;0;0;-0.005;-0.002;-0.002;0.005;0.022;0.012;0.007;0.037;0.007;0.017
109;-0.005;-0.005;-0.005;0.005;-0.005;-0.002;0;0.002;0.02;0.012;0.007;0.034;0.007;0.015
110;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.02;0.012;0.005;0.037;0.007;0.015
111;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.024;0.015;0.01;0.034;0.005;0.017
112;-0.007;-0.005;-0.005;0.005;-0.005;-0.002;0;0.005;0.02;0.01;0.005;0.037;0.007;0.017
113;-0.005;-0.005;-0.005;0.002;-0.002;-0.005;0;0.005;0.022;0.012;0.007;0.037;0.005;0.015
114;-0.007;-0.005;-0.005;0.005;-0.005;-0.005;0;0.002;0.02;0.012;0.007;0.037;0.005;0.017
115;-0.007;-0.005;-0.005;0.002;-0.002;-0.002;0;0.002;0.022;0.012;0.007;0.034;0.007;0.017
116;-0.007;-0.005;-0.007;0.002;-0.005;-0.005;-0.002;0.005;0.022;0.012;0.005;0.032;0.007;0.017
117;-0.005;-0.005;-0.005;0.002;-0.005;-0.005;0;0.002;0.024;0.012;0.005;0.032;0.007;0.017
118;-0.005;-0.005;-0.005;0.002;-0.002;-0.002;0;0.005;0.024;0.015;0.01;0.037;0.007;0.012
119;-0.005;-0.007;-0.005;0.005;-0.005;-0.002;0;0.005;0.022;0.012;0.007;0.037;0.007;0.017
120;-0.007;-0.007;-0.005;0.002;-0.002;-0.005;0;0.002;0.022;0.012;0.007;0.037;0.007;0.02
121;-0.005;-0.005;-0.002;0.002;-0.005;-0.005;0;0.005;0.027;0.015;0.007;0.037;0;0.01
122;-0.005;-0.007;-0.005;0.005;0;0;0.002;0.005;0.022;0.012;0.007;0.034;0.005;0.02
123;-0.005;-0.007;-0.007;0.005;-0.005;-0.002;0;0.002;0.02;0.015;0.007;0.037;0.007;0.017
124;-0.007;-0.005;-0.005;0.002;-0.005;-0.005;0;0.005;0.02;0.01;0.005;0.037;0.007;0.02
125;-0.007;-0.005;-0.005;0.002;-0.002;-0.002;0;0.005;0.022;0.012;0.01;0.034;0.007;0.015
126;-0.007;-0.007;-0.005;0;-0.005;-0.005;0;0.002;0.022;0.012;0.007;0.034;0.01;0.017
127;-0.005;-0.005;-0.007;0.002;-0.005;-0.002;0;0.002;0.022;0.012;0.01;0.032;0.007;0.02
128;-0.007;-0.005;-0.005;0.005;0;-0.002;0;0.002;0.022;0.012;0.007;0.034;0.007;0.015
129;-0.007;-0.007;-0.007;0.002;-0.005;-0.002;0;0.005;0.022;0.01;0.007;0.032;0.005;0.017
130;-0.005;-0.005;-0.005;0.002;-0.002;-0.002;0;0.005;0.022;0.012;0.007;0.034;0.005;0.015
131;-0.005;-0.002;-0.005;0.002;-0.002;-0.005;-0.002;0.005;0.02;0.012;0.01;0.034;0.007;0.017
132;-0.007;-0.005;-0.007;0.002;-0.005;-0.005;0;0.002;0.024;0.01;0.01;0.032;0.007;0.015
133;-0.005;-0.005;-0.005;0.002;-0.002;0;0;0.005;0.022;0.012;0.007;0.034;0.007;0.015
134;-0.007;-0.005;-0.005;0.002;0;-0.002;0;0.005;0.024;0.012;0.005;0.034;0.007;0.015
135;-0.005;-0.005;-0.005;0.005;-0.005;-0.007;0.002;0.005;0.022;0.015;0.007;0.034;0.01;0.017
136;-0.007;-0.005;-0.005;0.002;-0.002;-0.002;0;0.005;0.022;0.015;0.007;0.034;0.01;0.017
137;-0.007;-0.002;-0.002;0.002;-0.005;-0.005;-0.002;0.005;0.022;0.01;0.007;0.029;0.007;0.017
138;-0.005;-0.007;-0.005;0.005;-0.002;-0.002;-0.002;0.002;0.024;0.01;0.007;0.032;0.007;0.017
139;-0.007;-0.005;-0.005;0.002;-0.002;-0.005;0.002;0.002;0.022;0.012;0.007;0.034;0.007;0.017
140;-0.005;-0.002;-0.005;0.005;-0.005;-0.005;0;0.005;0.024;0.015;0.01;0.032;0.002;0.012
141;-0.005;-0.002;-0.002;0.005;-0.002;-0.002;-0.002;0.005;0.022;0.012;0.007;0.037;0.005;0.015
142;-0.005;-0.005;-0.005;0.005;-0.002;-0.002;0;0.002;0.02;0.01;0.007;0.032;0.005;0.012
143;-0.005;-0.005;0;0.002;-0.005;-0.002;0.002;0.005;0.02;0.012;0.01;0.034;0.01;0.017
144;-0.007;-0.005;-0.005;0.005;-0.002;-0.002;0;0.007;0.022;0.012;0.01;0.034;0.005;0.015
145;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.022;0.012;0.01;0.032;0.007;0.017
146;-0.007;-0.002;-0.002;0.005;-0.002;-0.002;0;0.005;0.024;0.015;0.01;0.037;0.005;0.017
147;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.034;0.01;0.017
148;-0.002;-0.005;-0.002;0.005;-0.005;-0.002;0;0.005;0.022;0.012;0.007;0.034;0.007;0.02
149;-0.007;-0.005;-0.007;0.005;-0.005;-0.005;0;0.005;0.02;0.012;0.01;0.034;0.007;0.017
150;-0.002;-0.005;-0.005;0.005;0;-0.002;0;0.002;0.024;0.012;0.007;0.032;0.005;0.015
151;-0.005;-0.005;-0.005;0.005;-0.002;-0.002;-0.002;0.005;0.022;0.012;0.007;0.032;0.007;0.02
152;-0.005;-0.002;-0.005;0.007;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.034;0.005;0.017
153;-0.005;-0.005;-0.005;0.007;-0.005;-0.002;0;0.005;0.022;0.01;0.005;0.037;0.007;0.02
154;-0.002;-0.002;-0.005;0.005;-0.005;-0.002;0;0.005;0.024;0.015;0.007;0.034;0.007;0.017
155;-0.005;-0.002;-0.002;0.005;-0.002;-0.002;-0.002;0.005;0.022;0.015;0.005;0.034;0.007;0.02
156;-0.005;-0.005;-0.005;0.005;-0.005;-0.005;-0.002;0.005;0.022;0.012;0.007;0.032;0.007;0.017
157;-0.005;-0.005;-0.002;0.005;-0.002;-0.005;0;0.002;0.024;0.012;0.01;0.032;0.007;0.02
158;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.022;0.015;0.007;0.034;0.007;0.015
159;-0.005;-0.007;-0.002;0.005;-0.002;-0.002;0;0.005;0.024;0.012;0.007;0.032;0.002;0.015
160;-0.005;-0.002;0;0.005;-0.002;-0.002;0.002;0.005;0.024;0.012;0.007;0.032;0.007;0.017
161;-0.005;-0.002;-0.005;0.002;-0.002;-0.002;0;0.005;0.024;0.015;0.007;0.034;0.007;0.017
162;-0.005;-0.005;-0.002;0.002;-0.005;-0.005;0;0.005;0.022;0.012;0.007;0.032;0.005;0.015
163;-0.005;-0.002;-0.005;0.002;-0.005;-0.002;0;0.005;0.027;0.015;0.01;0.034;0.007;0.02
164;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;-0.002;0.005;0.022;0.012;0.007;0.032;0.01;0.017
165;-0.007;-0.005;-0.005;0.002;-0.002;-0.002;0;0.005;0.024;0.012;0.007;0.034;0.007;0.017
