time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.005;-0.005;-0.01;0.007;-0.002;0.042;0.027;0.049;0.017;0.066
0.5;-0.005;-0.005;0.005;0.007;-0.002;0.051;0.007;0.039;-0.024;0.044
1;-0.005;-0.005;-0.01;0.005;-0.005;0.024;-0.01;0.01;0.012;-0.039
1.5;-0.005;-0.002;-0.01;0.007;-0.002;0.037;0.017;0.042;0.049;-0.002
2;-0.005;-0.005;0;0.007;-0.002;0.039;0.012;0.037;0.022;0.02
2.5;-0.002;-0.002;-0.007;0.002;-0.002;0.034;0.012;0.034;0.005;0.027
3;-0.005;-0.002;0.002;0.005;0.002;0.027;0;0.027;0.007;0.01
3.5;-0.002;0;-0.005;0.005;-0.002;-0.01;-0.037;-0.01;0.007;-0.015
4;-0.005;-0.002;-0.005;0.005;-0.002;0.002;-0.029;-0.002;0.024;-0.015
4.5;-0.005;-0.005;-0.005;0.005;-0.005;0.049;0.01;0.044;0.032;0.034
5;-0.005;0;0.002;0.007;-0.005;0.054;0.027;0.049;-0.005;-0.005
5.5;-0.005;-0.005;-0.01;0.005;-0.005;0.051;0.029;0.063;0.022;0.017
6;-0.005;-0.002;0.002;0.005;-0.005;0.034;0.02;0.044;0.015;0.034
6.5;-0.002;-0.002;-0.005;0.005;-0.005;0.039;0.017;0.044;0.015;-0.005
7;-0.005;-0.002;-0.007;0.005;-0.005;0.042;0.024;0.046;0.032;0.029
7.5;-0.007;-0.002;0;0.005;-0.005;0.039;0.007;0.034;0.015;0.071
8;-0.002;-0.005;-0.005;0.005;0;0.061;0.034;0.061;0.017;0.01
8.5;-0.007;-0.002;0;0.005;-0.005;0.034;0.02;0.046;0.022;0.015
9;0;-0.002;-0.007;0.005;-0.002;0.027;-0.007;0.02;0.059;-0.002
9.5;-0.002;-0.005;-0.01;0.005;-0.002;0.007;-0.012;0.007;0.02;0.007
10;-0.005;-0.002;-0.002;0.005;0;0.039;0.017;0.044;0.012;0.037
10.5;0;0;-0.007;0.007;-0.007;0.012;-0.034;-0.002;0.037;-0.005
11;-0.002;-0.002;-0.005;0.005;-0.002;0.027;0;0.029;0.046;0.027
11.5;0.002;-0.002;-0.01;0.007;-0.005;0.032;0.015;0.032;0.044;0.076
12;-0.007;-0.005;-0.005;0.007;-0.005;0.012;0.005;0.034;0.098;0.059
12.5;-0.002;-0.002;0.005;0.007;-0.002;0.051;0.029;0.054;0.032;0
13;-0.002;-0.002;-0.002;0.007;0;0.071;0.034;0.059;-0.015;0.017
13.5;-0.002;-0.002;-0.01;0.007;-0.002;0.049;0.02;0.044;-0.007;-0.017
14;-0.005;0;-0.005;0.007;-0.002;0.046;0.022;0.049;0.02;-0.022
14.5;-0.005;-0.005;0;0.002;-0.005;0.063;0.032;0.046;-0.017;-0.049
15;0;-0.002;-0.002;0.005;-0.005;0.059;0.051;0.083;-0.032;-0.027
15.5;-0.01;-0.002;0;0.005;-0.005;0.039;0.002;0.032;0.029;0.017
16;-0.007;-0.005;-0.002;0.005;-0.002;0.024;0.002;0.034;0.007;0.017
16.5;-0.005;-0.002;-0.002;0.005;-0.007;0.037;0.02;0.044;0.005;0.015
17;-0.005;-0.002;-0.007;0.005;-0.002;0.022;0.007;0.037;0.029;0.027
17.5;-0.002;-0.002;0;0.007;-0.002;0.007;-0.015;0.015;0.037;0.012
18;-0.005;0;-0.007;0.005;-0.005;-0.005;-0.024;0.012;0.056;0.012
18.5;-0.007;-0.005;0;0.005;-0.005;0.042;0.012;0.034;0.042;0.024
19;-0.005;-0.002;0;0.007;-0.002;0.044;0.015;0.042;0.054;0.073
19.5;-0.002;-0.002;-0.002;0.005;0;0.063;0.022;0.044;0.007;0.002
20;-0.005;0;0.002;0.005;0;0.032;0.015;0.042;0.002;-0.024
20.5;-0.007;-0.002;-0.005;0.005;-0.005;0.034;0.002;0.022;0.027;-0.01
21;-0.002;-0.002;-0.005;0.005;-0.002;0.032;0.022;0.044;0.046;0.02
21.5;-0.005;-0.002;0;0.002;-0.005;0.044;0.027;0.056;0.027;0.049
22;-0.002;-0.002;-0.002;0.005;-0.002;0.046;0.027;0.044;0.007;-0.027
22.5;-0.002;-0.005;-0.002;0.005;-0.002;0.049;0.017;0.032;0.007;-0.015
23;-0.007;0;0;0.007;-0.002;0.039;0.029;0.054;0.002;-0.046
23.5;0;-0.005;0;0.007;-0.002;0.032;0.005;0.034;0.005;0.029
24;0;0;0;0.005;-0.002;0.027;-0.005;0.02;0.002;0.017
24.5;-0.002;0;-0.002;0.007;-0.002;0.034;-0.007;0.024;0.059;0.063
25;-0.005;-0.002;-0.002;0.007;-0.002;0.056;0.029;0.051;-0.042;-0.005
25.5;-0.002;-0.002;-0.007;0.007;-0.002;0.046;0.034;0.059;0;0.015
26;-0.005;0;0.002;0.01;-0.002;0.049;0.037;0.066;-0.017;-0.02
