time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10;ch 11;ch 12;ch 13;ch 14
0;-0.005;-0.005;-0.005;0;-0.005;-0.002;0.002;0.007;0.039;0.027;0.02;0.046;0.007;0.02
1;-0.005;0;0;0.007;-0.002;-0.002;0;0.007;0.024;0.015;0.012;0.034;0.015;0.024
2;-0.005;-0.005;-0.007;0.005;-0.002;-0.002;0.002;0.007;0.034;0.024;0.017;0.037;0.007;0.02
3;-0.005;-0.002;-0.005;0.005;-0.005;0;0.002;0.005;0.002;-0.007;-0.015;0.01;0;0.012
4;-0.005;-0.005;-0.002;0.005;0;-0.002;0.002;0.007;0.042;0.027;0.02;0.044;-0.005;0.012
5;-0.007;-0.005;-0.005;0.002;-0.002;0;0.002;0.002;0.029;0.017;0.015;0.037;0.015;0.024
6;-0.005;-0.002;-0.002;0.002;-0.002;-0.002;0;0.007;0.024;0.015;0.007;0.037;0.007;0.015
7;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0.002;0.005;0.024;0.01;0.002;0.029;-0.054;-0.042
8;-0.005;-0.002;-0.002;0.005;-0.005;-0.002;0.002;0.005;0.042;0.027;0.022;0.044;0.024;0.034
9;-0.005;0;-0.005;0.005;-0.002;0;0.002;0.005;0.024;0.012;0.005;0.032;0.007;0.02
10;-0.005;-0.002;-0.005;0.005;-0.005;-0.002;0.002;0.005;-0.061;-0.071;-0.076;-0.051;0.015;0.022
11;-0.005;-0.002;0;0.005;-0.002;0;0.002;0.005;0.029;0.02;0.012;0.042;-0.056;-0.042
12;-0.002;-0.002;-0.005;0.005;-0.002;-0.002;0.002;0.005;0.024;0.012;0.007;0.032;0.017;0.027
13;-0.002;-0.002;0;0.005;-0.002;-0.002;0.005;0.007;0.022;0.01;0.005;0.029;0;0.01
14;-0.005;-0.002;-0.002;0.007;-0.002;0;0.005;0.007;-0.015;-0.027;-0.034;-0.01;0.007;0.022
15;-0.002;0;-0.002;0.007;0;0;0.002;0.005;-0.005;-0.017;-0.02;0.005;0.002;0.015
16;-0.002;-0.005;-0.005;0.007;-0.005;-0.002;0.002;0.002;0.032;0.017;0.012;0.037;-0.015;-0.002
17;-0.005;0;-0.005;0.007;0;-0.002;0.002;0.007;0.027;0.015;0.01;0.034;0.015;0.027
18;-0.005;-0.002;-0.002;0.007;-0.005;0;0.005;0.007;0.024;0.012;0.007;0.029;0.007;0.022
19;-0.005;-0.002;-0.002;0.005;-0.002;0.002;0.005;0.007;0.034;0.017;0.015;0.034;0.01;0.022
20;-0.005;-0.002;-0.002;0.007;-0.002;-0.002;0.002;0.005;0.027;0.015;0.01;0.034;0.007;0.017
21;-0.002;0;-0.005;0.005;-0.002;0;0.002;0.007;0.024;0.015;0.01;0.034;0.01;0.017
22;-0.005;-0.002;-0.007;0.007;-0.002;-0.002;0;0.007;0.103;0.088;0.083;0.105;0.056;0.071
23;-0.002;-0.002;-0.002;0.007;-0.002;0;0.002;0.007;0;-0.01;-0.015;0.007;0.032;0.042
24;-0.002;-0.002;-0.002;0.007;-0.002;-0.002;0.005;0.007;0.029;0.017;0.01;0.037;-0.005;0.007
25;-0.002;-0.002;0;0.005;-0.002;-0.002;0.005;0.007;0.078;0.071;0.061;0.085;0.042;0.056
26;-0.002;0;0;0.007;-0.002;-0.002;0.005;0.005;-0.02;-0.029;-0.037;-0.012;0.032;0.039
27;-0.005;-0.002;-0.002;0.005;-0.005;0;0.002;0.007;0.068;0.056;0.049;0.068;-0.027;-0.012
28;-0.002;-0.002;-0.002;0.007;-0.002;-0.002;0.002;0.007;0.032;0.02;0.012;0.039;0.039;0.049
29;-0.005;-0.005;-0.005;0.007;0;-0.002;0.002;0.007;0.024;0.01;0.007;0.032;0;0.012
30;-0.005;-0.002;-0.002;0.007;-0.002;-0.002;0;0.007;-0.005;-0.02;-0.022;0;0.005;0.02
31;-0.005;-0.005;-0.002;0.005;-0.002;0;0;0.005;0.029;0.015;0.01;0.037;0.007;0.02
32;-0.002;-0.002;0;0.007;-0.002;-0.002;0.002;0.005;0.024;0.012;0.005;0.032;0.002;0.015
33;-0.002;-0.002;-0.002;0.005;0;0;0.002;0.007;0.007;-0.005;-0.01;0.015;0.005;0.02
