time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10;ch 11;ch 12;ch 13;ch 14
0;-0.005;-0.002;-0.002;0.005;-0.005;-0.002;0;0.002;0.024;0.012;0.007;0.034;0.01;0.024
1;-0.007;-0.005;-0.002;0.002;-0.005;-0.005;0;0.005;0.022;0.01;0.005;0.032;0.007;0.017
2;-0.005;-0.005;-0.002;0.005;-0.005;-0.005;0;0.002;0.027;0.017;0.012;0.037;0.005;0.022
3;-0.005;-0.002;0;0.002;-0.002;0;0.002;0.005;0.027;0.017;0.01;0.037;0.007;0.02
4;-0.005;-0.002;-0.002;0.005;-0.005;-0.005;0;0.005;0.024;0.017;0.01;0.037;0.007;0.02
5;-0.005;-0.002;-0.002;0.002;-0.002;-0.002;0;0.005;0.027;0.015;0.012;0.037;0.007;0.02
6;-0.005;-0.002;-0.002;0.005;-0.005;-0.005;0.002;0.005;0.027;0.017;0.01;0.037;0.01;0.017
7;-0.005;-0.002;-0.002;0.002;-0.007;-0.005;0;0.005;0.024;0.015;0.007;0.034;0.007;0.022
8;-0.002;0;0;0.005;-0.005;-0.002;0;0.005;0.024;0.015;0.012;0.037;0.01;0.02
9;-0.002;-0.005;-0.005;0.005;-0.005;-0.002;0;0.005;0.024;0.015;0.01;0.037;0.007;0.022
10;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0.002;0.005;0.022;0.012;0.005;0.034;0.007;0.02
11;-0.005;-0.002;-0.005;0.002;-0.007;-0.005;0;0.002;0.024;0.017;0.012;0.037;0.012;0.015
12;-0.005;-0.002;-0.005;0.002;-0.005;-0.002;0;0.005;0.024;0.012;0.01;0.034;0.007;0.027
13;-0.005;-0.002;-0.002;0.005;-0.007;-0.002;0;0.002;0.027;0.015;0.007;0.039;0.007;0.02
14;-0.005;-0.005;-0.005;0.005;-0.002;-0.002;0;0.005;0.024;0.015;0.01;0.039;0.007;0.02
15;-0.005;-0.005;-0.002;0.002;-0.007;-0.005;-0.002;0.005;0.027;0.015;0.01;0.034;0.007;0.02
16;-0.002;-0.005;-0.005;0.002;-0.005;-0.002;0;0.002;0.027;0.017;0.01;0.037;0.007;0.017
17;-0.007;-0.005;-0.002;0.005;-0.005;-0.002;0;0.005;0.024;0.015;0.01;0.037;0.007;0.017
18;-0.005;-0.005;-0.005;0.005;-0.002;-0.002;0;0.002;0.022;0.015;0.007;0.037;0.012;0.022
19;-0.005;-0.005;-0.005;0.002;-0.005;-0.007;0.002;0.002;0.022;0.015;0.01;0.034;0.005;0.017
20;-0.005;-0.002;-0.002;0.005;-0.002;-0.002;0;0.005;0.024;0.017;0.01;0.037;0.007;0.02
21;-0.007;-0.002;-0.005;0.002;-0.005;-0.007;0;0.005;0.027;0.017;0.012;0.034;0.007;0.022
22;-0.007;-0.005;-0.005;0.007;-0.005;-0.005;0;0.002;0.027;0.02;0.01;0.037;0.007;0.02
23;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.027;0.017;0.012;0.037;0.007;0.022
24;-0.005;-0.005;-0.002;0.002;-0.005;-0.002;0;0.005;0.027;0.015;0.007;0.037;0.01;0.02
25;-0.005;-0.002;-0.007;0.005;-0.005;-0.005;0;0.005;0.024;0.012;0.01;0.034;0.01;0.022
26;-0.005;-0.002;-0.002;0;-0.005;-0.005;0;0.005;0.024;0.015;0.01;0.037;0.01;0.022
27;-0.005;-0.005;-0.005;0.005;-0.002;-0.005;0;0.005;0.027;0.017;0.012;0.034;0.007;0.02
28;-0.007;-0.005;-0.005;0.002;-0.005;-0.002;0;0.007;0.027;0.015;0.012;0.037;0.007;0.017
29;-0.005;-0.005;-0.005;0.005;-0.002;-0.002;-0.002;0.005;0.027;0.015;0.01;0.034;0.01;0.02
30;-0.005;-0.005;-0.002;0.002;-0.005;-0.002;0;0.005;0.027;0.015;0.01;0.037;0.01;0.02
31;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;0;0.005;0.029;0.015;0.012;0.034;0.007;0.02
32;-0.005;-0.005;-0.002;0.002;-0.005;-0.005;0;0.005;0.029;0.017;0.012;0.037;0.007;0.02
33;-0.005;-0.005;-0.005;0.002;-0.005;-0.002;-0.002;0.005;0.027;0.015;0.01;0.037;0.007;0.022
34;-0.007;-0.002;-0.002;0.005;-0.005;-0.005;0;0.002;0.027;0.017;0.012;0.034;0.007;0.017
35;-0.005;-0.005;-0.002;0.002;-0.005;-0.005;0;0.002;0.027;0.017;0.012;0.037;0.007;0.022
36;-0.005;-0.002;-0.002;0.002;-0.005;-0.002;-0.002;0.005;0.024;0.015;0.01;0.034;0.012;0.02
37;-0.005;-0.005;-0.005;0.005;-0.005;-0.005;0;0;0.027;0.017;0.01;0.037;0.007;0.022
38;-0.007;-0.005;-0.005;0.002;-0.005;-0.002;-0.002;0.002;0.027;0.017;0.01;0.039;0.007;0.02
39;-0.002;-0.002;-0.005;0.002;-0.005;-0.002;0;0.005;0.027;0.012;0.012;0.037;0.007;0.02
40;-0.005;-0.005;-0.005;0.005;-0.005;-0.002;0;0.005;0.027;0.017;0.012;0.037;0.007;0.017
41;-0.005;-0.005;-0.002;0.002;-0.005;-0.002;0;0.005;0.027;0.02;0.01;0.037;0.007;0.02
42;-0.005;-0.005;-0.005;0.002;-0.005;-0.005;0;0.005;0.027;0.017;0.01;0.039;0.007;0.02
43;-0.002;-0.002;-0.002;0.005;-0.007;-0.005;-0.002;0.005;0.027;0.015;0.012;0.037;0.01;0.022
44;-0.007;-0.002;-0.005;0.002;-0.005;-0.005;0;0.005;0.024;0.02;0.012;0.039;0.01;0.02
45;-0.005;-0.005;-0.005;0.002;-0.005;-0.005;0;0.005;0.027;0.012;0.01;0.037;0.007;0.017
46;-0.002;-0.005;-0.002;0.005;-0.005;-0.002;0.002;0.002;0.024;0.015;0.01;0.034;0.01;0.022
47;-0.002;-0.002;-0.005;0.005;-0.002;-0.005;-0.002;0.005;0.024;0.017;0.01;0.037;0.007;0.022
48;-0.005;-0.005;-0.002;0.005;-0.005;-0.005;0;0.005;0.027;0.017;0.012;0.039;0.007;0.02
49;-0.002;-0.002;-0.002;0.005;-0.005;-0.007;0;0.002;0.027;0.015;0.01;0.034;0.007;0.022
50;-0.005;-0.002;-0.002;0.005;-0.005;-0.005;0;0.002;0.027;0.015;0.01;0.039;0.012;0.022
51;-0.002;-0.002;-0.005;0.005;-0.002;-0.002;0;0.007;0.024;0.015;0.01;0.037;0.01;0.022
