time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.005;-0.002;-0.002;0.002;0;0.007;-0.024;0.002;0.042;0.012
0.5;0.005;0;-0.002;0.002;0;0.056;0.037;0.059;0.054;0.01
1;-0.007;0;-0.005;0.005;-0.002;0.068;0.032;0.056;-0.005;-0.02
1.5;-0.007;0;-0.005;0.002;-0.005;0.034;0.007;0.02;0.027;0.024
2;-0.005;0;0.002;0.002;-0.005;0.044;0.022;0.029;0.01;0.022
2.5;-0.005;0;0;0.002;-0.002;0.017;-0.012;0.015;0.005;0.01
3;-0.007;-0.002;-0.005;0.002;-0.002;0.02;0.022;0.039;0.029;-0.002
3.5;0.002;-0.002;-0.005;0.002;0;0.007;-0.007;0.02;-0.039;-0.046
4;-0.005;0;0;0.002;-0.005;-0.005;-0.032;-0.01;0.002;-0.002
4.5;0;-0.002;-0.012;0.002;-0.002;0.042;0.024;0.042;0.032;0.042
5;-0.002;-0.005;-0.002;0.002;-0.002;0.051;0.024;0.051;0.012;0.034
5.5;-0.005;-0.002;-0.005;0.005;-0.002;0.024;0.012;0.049;0.044;0.024
6;-0.002;0;-0.007;0.005;-0.002;0.029;0.002;0.027;0.034;0.002
6.5;-0.005;-0.005;-0.005;0.005;-0.002;0.042;0.02;0.029;0.044;0.059
7;-0.002;-0.002;0;0.002;-0.005;0.027;0.017;0.022;-0.022;0.024
7.5;0;-0.002;-0.002;0.002;-0.002;0.034;0.02;0.032;0.012;0.022
8;-0.005;0;0;0.005;-0.005;0.032;0.007;0.027;0.049;0.063
8.5;-0.002;-0.002;0;0.002;0;0.037;0.027;0.042;0.024;0.037
9;-0.002;-0.002;-0.01;0.002;-0.002;0.059;0.032;0.056;0.007;0.015
9.5;-0.007;-0.005;0.002;0.005;-0.002;0.054;0.027;0.046;0.012;0.034
10;0;-0.002;-0.012;0.002;0;0.039;0.012;0.034;0.066;0.037
10.5;-0.002;-0.002;0.002;0.007;-0.002;0.044;0.027;0.034;0.039;0.046
11;-0.005;-0.002;-0.007;0.002;0;0.039;0.007;0.039;-0.024;-0.032
11.5;-0.005;-0.005;-0.005;0.002;-0.002;0.007;0.01;0.017;0.039;0.042
12;-0.002;0;-0.002;0.007;-0.005;0.034;0.012;0.032;0.056;0.063
12.5;0;0;-0.002;0.002;-0.002;0.022;0.007;0.022;-0.005;-0.017
13;-0.005;-0.002;0.005;0.005;0;0.037;0.01;0.044;0.049;0.007
13.5;-0.005;-0.002;0;0.005;-0.002;0.024;-0.002;0.027;-0.015;-0.044
14;0.002;0;-0.01;0.005;-0.005;-0.027;-0.024;-0.007;-0.012;0
14.5;0;0.002;0.002;0.005;-0.002;0.049;0.037;0.061;0.022;-0.027
15;-0.005;-0.002;0.005;0.002;-0.002;0.007;-0.02;-0.002;0.029;0.076
15.5;-0.005;-0.002;0;0.005;0;0.017;0.01;0.02;0.005;0.02
16;0.002;0;-0.005;0.005;-0.007;0.037;0.01;0.022;0.042;0.024
16.5;-0.002;-0.002;0.005;0.005;-0.002;0.022;0.007;0.032;0.007;0.042
17;0;0;-0.007;0.005;-0.002;0.054;0.034;0.056;0.044;0.039
17.5;-0.002;0.002;-0.002;0.005;-0.002;0.066;0.046;0.061;0.032;0.037
18;0.002;0.002;-0.007;0.005;-0.002;0.042;0.017;0.034;0.039;0.017
18.5;0;0;-0.005;0.007;0;0.046;0.039;0.059;0.042;0.051
19;-0.005;-0.005;-0.002;0.002;-0.002;0.042;0.032;0.054;0.054;0.037
19.5;-0.005;-0.002;0.005;0.005;-0.002;0.054;0.034;0.046;0.044;0.046
20;0;-0.002;-0.005;0.005;-0.005;0;-0.002;0.015;0.037;0.037
20.5;-0.002;0;0;0.005;-0.005;0.015;-0.012;0.012;0.022;-0.029
21;-0.002;0;-0.005;0.002;-0.005;0.056;0.037;0.061;0.044;0.017
21.5;0;-0.002;-0.007;0.005;-0.002;0.042;0.015;0.051;0.017;0.005
22;0;-0.002;-0.005;0.01;-0.005;0.022;0.024;0.034;-0.007;0.01
22.5;0;0;-0.002;0.005;-0.007;0.005;-0.007;0.022;0.002;0.012
23;-0.002;-0.002;0.005;0.005;-0.002;0.042;0.037;0.046;0.039;0.029
23.5;-0.007;-0.002;0;0.002;-0.002;0.022;0.01;0.01;-0.044;-0.015
24;-0.005;0;-0.002;0.002;-0.002;0.022;-0.007;0.005;0.022;0.012
24.5;-0.002;0;0.005;0.007;0.002;0.042;0.007;0.032;0.078;0.037
25;-0.002;0.002;0;0.002;0;0.051;0.034;0.049;0.022;0.029
25.5;-0.002;0;0.005;0.007;0;0.046;0.032;0.049;0;0.022
26;-0.002;0;-0.002;0.002;-0.005;0.034;0.032;0.037;0.046;0.015
