time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10;ch 11;ch 12;ch 13;ch 14
0;-0.005;-0.005;-0.005;0.005;-0.002;0;0;0.007;-0.039;-0.046;-0.051;-0.027;0.002;0.01
1;-0.005;-0.005;-0.007;0.005;-0.002;0.002;0;0.007;0.029;0.015;0.01;0.034;0;0.012
2;-0.005;-0.002;-0.002;0.005;-0.002;0;0.002;0.005;0.032;0.017;0.01;0.034;0;0.012
3;-0.005;-0.002;-0.002;0.002;-0.002;0.002;0.002;0.005;0.022;0.015;0.007;0.032;0.007;0.02
4;-0.007;-0.002;-0.002;0.005;-0.005;-0.002;0;0.002;0.027;0.017;0.01;0.039;0.01;0.024
5;-0.007;-0.005;-0.005;0.005;0;0;0;0.007;0.029;0.017;0.01;0.034;0.01;0.02
6;-0.005;-0.002;-0.002;0.005;-0.005;0;0;0.005;0.027;0.015;0.007;0.034;0.007;0.017
7;-0.002;-0.002;-0.002;0.005;-0.005;-0.002;0;0.007;0.027;0.015;0.007;0.034;0.005;0.02
8;-0.007;-0.002;-0.005;0.007;-0.005;-0.002;0;0.007;0.039;0.024;0.015;0.042;0.034;0.042
9;-0.005;-0.002;-0.005;0.005;-0.007;-0.002;0;0.005;0.044;0.032;0.024;0.051;0.007;0.015
10;-0.005;-0.002;-0.002;0.005;-0.002;-0.002;0;0.005;-0.002;-0.012;-0.02;0.005;0.005;0.012
11;-0.007;-0.005;-0.002;0.005;-0.005;-0.002;0;0.007;0.007;-0.007;-0.015;0.015;0.017;0.027
12;-0.005;0;-0.002;0.007;-0.002;0;0.002;0.005;0.027;0.017;0.012;0.034;0.002;0.01
13;-0.005;-0.005;-0.005;0.005;-0.002;0;0.002;0.005;0.012;0;-0.007;0.017;0.02;0.032
14;-0.005;-0.002;0.002;0.002;-0.005;-0.002;-0.002;0.005;0.037;0.022;0.015;0.042;0.017;0.027
15;-0.005;-0.002;-0.005;0.005;-0.005;-0.005;0;0.002;0.027;0.015;0.007;0.029;0.012;0.027
16;-0.005;-0.002;-0.002;0.005;-0.002;-0.002;0.002;0.007;0.032;0.02;0.01;0.032;0.002;0.012
17;-0.005;-0.002;-0.005;0.005;-0.005;0;0;0.002;0.029;0.015;0.007;0.034;-0.027;-0.017
18;0;-0.005;0;0.007;-0.002;0;0.002;0.007;-0.002;-0.015;-0.017;0.005;0.015;0.024
19;-0.005;0;0;0.005;-0.005;-0.002;0;0.002;0.032;0.012;0.01;0.034;0.01;0.024
20;-0.002;-0.002;-0.005;0.005;-0.005;0;0;0.005;0.071;0.059;0.051;0.073;-0.005;0.012
21;-0.005;-0.002;0;0.005;-0.002;-0.002;0.002;0.005;0.039;0.027;0.017;0.042;0.007;0.017
22;-0.005;0;0;0.005;-0.002;-0.002;0;0.007;0.02;0.017;0.005;0.032;0.012;0.02
23;-0.005;-0.002;-0.002;0.005;-0.002;0;0;0.005;0.027;0.017;0.007;0.034;0.081;0.09
24;-0.002;-0.002;-0.002;0.005;-0.005;0;0;0.005;0.066;0.044;0.039;0.063;-0.002;0.012
25;-0.005;-0.002;-0.002;0.007;-0.002;0;0.002;0.007;0.027;0.02;0.01;0.032;0.005;0.015
26;-0.002;0;-0.002;0.005;0;0;0.002;0.005;0.032;0.022;0.012;0.037;0.073;0.085
27;-0.005;-0.002;-0.005;0.007;-0.005;0.002;0.002;0.002;0.093;0.071;0.066;0.09;-0.022;-0.005
28;-0.002;-0.002;-0.002;0.007;-0.007;0.002;0;0.005;0.022;0.005;0.002;0.024;-0.027;-0.012
29;-0.002;-0.002;-0.005;0.007;-0.002;0;0;0.007;-0.027;-0.037;-0.044;-0.02;0.027;0.034
30;-0.005;0;-0.002;0.007;-0.002;0;0.002;0.007;0.027;0.015;0.01;0.034;0.012;0.022
31;-0.002;-0.002;-0.002;0.005;-0.007;0;0.002;0.005;0.034;0.015;0.01;0.037;0.007;0.015
32;-0.005;-0.002;0;0.005;0;0.002;0.002;0.007;0.034;0.02;0.012;0.037;-0.054;-0.042
33;-0.005;0;-0.002;0.007;-0.007;-0.005;0;0.005;-0.017;-0.027;-0.034;-0.01;0.027;0.037
34;-0.002;-0.002;-0.002;0.007;-0.002;0;0.002;0.005;0.032;0.022;0.015;0.037;0.012;0.02
35;-0.002;-0.002;-0.002;0.007;-0.007;0;0;0.002;0.034;0.015;0.01;0.034;0.034;0.037
36;-0.005;-0.002;-0.002;0.005;0;0.002;0;0.005;0.005;-0.002;-0.012;0.012;0.037;0.049
37;-0.005;-0.002;0;0.005;-0.007;-0.002;-0.002;0.002;0.046;0.032;0.024;0.051;0;0.012
38;-0.005;-0.002;0;0.007;-0.005;0;0;0.002;0.024;0.005;0;0.027;0.02;0.027
39;-0.005;-0.002;-0.005;0.005;-0.002;0;0;0.005;0.044;0.027;0.022;0.046;0.01;0.02
40;-0.007;-0.002;-0.002;0.005;-0.005;-0.002;0;0.002;0.034;0.022;0.015;0.039;-0.002;0.01
41;-0.005;-0.002;-0.005;0.005;-0.005;0;0;0.005;-0.034;-0.042;-0.049;-0.024;0.042;0.051
42;-0.005;0;-0.002;0.005;-0.005;0;0;0.002;0.046;0.032;0.022;0.049;0.01;0.02
