time [us];ch 1;ch 2;ch 3;ch 4;ch 5;ch 6;ch 7;ch 8;ch 9;ch 10
0;-0.007;-0.005;-0.002;0;-0.002;0.032;0.012;0.034;0.02;0.007
0.5;-0.005;-0.002;-0.007;0.002;-0.007;0.046;0.022;0.049;0.007;-0.002
1;-0.005;-0.005;-0.005;0.002;-0.005;0.024;0.01;0.029;0.015;0.007
1.5;-0.007;-0.005;-0.005;0.005;-0.005;0.034;0.012;0.037;0.027;0.007
2;-0.005;-0.002;-0.005;0.002;-0.002;0.039;0.017;0.039;0.022;0.002
2.5;-0.007;-0.005;-0.007;0;-0.007;0.034;0.01;0.032;0.022;0.005
3;-0.005;-0.005;-0.005;0.005;-0.005;0.034;0.012;0.037;0.027;0.02
3.5;-0.002;-0.005;-0.005;0.005;-0.005;0.039;0.02;0.042;0.02;0.01
4;-0.002;-0.005;-0.002;0.002;-0.007;0.039;0.015;0.037;0.02;0.015
4.5;-0.005;-0.005;-0.002;0.005;-0.005;0.039;0.017;0.039;0.02;0.01
5;-0.007;-0.005;-0.005;0;-0.005;0.037;0.012;0.034;0.034;0.022
5.5;-0.007;-0.002;-0.005;0.002;-0.005;0.039;0.017;0.037;0.024;0.015
6;-0.005;-0.01;-0.005;0;-0.007;0.032;0.012;0.037;0.024;0.012
6.5;-0.005;-0.005;-0.005;0.002;-0.005;0.039;0.015;0.037;0.02;0.012
7;-0.007;-0.007;-0.007;0.002;-0.007;0.037;0.015;0.037;0.02;0.01
7.5;-0.007;-0.005;-0.007;0.005;-0.002;0.032;0.015;0.039;0.02;0.015
8;-0.005;-0.002;-0.005;0.002;-0.007;0.037;0.015;0.039;0.017;0.012
8.5;-0.005;-0.002;0;0.007;-0.005;0.039;0.007;0.029;0.024;0.024
9;-0.005;-0.005;-0.005;0.002;-0.005;0.022;0.01;0.034;0.027;0.022
9.5;-0.002;-0.005;0;0.002;-0.005;0.039;0.015;0.039;0.02;0.012
10;-0.005;-0.005;-0.002;0.002;-0.005;0.037;0.017;0.039;0.02;0.012
10.5;-0.002;-0.005;0;0.002;-0.002;0.037;0.012;0.034;0.022;0.032
11;-0.005;-0.007;-0.002;0.002;-0.007;0.029;0.01;0.032;0.02;0.01
11.5;-0.005;-0.002;-0.002;0.002;-0.005;0.037;0.02;0.042;0.022;0.012
12;-0.005;-0.005;0;0.005;-0.005;0.032;0.017;0.037;0.042;0.032
12.5;0;-0.007;-0.005;0.002;-0.002;0.034;0.012;0.032;0.032;0.034
13;-0.007;-0.002;-0.002;0.005;-0.002;0.042;0.022;0.049;0.017;0.024
13.5;-0.005;-0.002;0;0.007;-0.002;0.046;0.024;0.042;0.005;-0.007
14;-0.005;-0.005;-0.007;0.005;0;0.029;-0.002;0.02;0.044;0.032
14.5;-0.005;-0.005;-0.002;0.002;-0.007;0.032;0.012;0.037;0.029;0.012
15;-0.002;-0.002;0;0.002;-0.005;0.051;0.029;0.046;0.01;0.007
15.5;-0.007;-0.005;-0.002;0.002;-0.007;0.042;0.022;0.056;0.02;0.024
16;-0.005;-0.002;-0.002;0.005;-0.005;0.037;0.02;0.039;0.029;0.046
16.5;-0.005;-0.007;-0.002;0.002;-0.005;0.027;0.002;0.02;0.032;0.029
17;-0.002;-0.007;-0.005;0.005;-0.002;0.037;0.017;0.044;0.005;-0.005
17.5;-0.005;-0.005;-0.002;0.002;-0.005;0.049;0.022;0.049;0.015;-0.02
18;-0.005;-0.005;-0.005;0.005;-0.005;0.051;0.029;0.049;0.01;0.007
18.5;-0.002;-0.005;0.002;0.005;-0.005;0.027;0.007;0.027;0.024;0.017
19;-0.007;-0.005;-0.007;0.002;-0.002;0.034;0.012;0.037;0.02;0.002
19.5;-0.005;-0.002;-0.007;0.005;-0.007;0.037;0.02;0.039;0.022;0.017
20;-0.005;-0.005;0;0.002;-0.005;0.034;0.012;0.037;0.017;0.015
20.5;-0.005;-0.005;-0.002;0.002;-0.005;0.032;0.012;0.037;0.017;0.007
21;-0.005;-0.007;-0.007;0;-0.005;0.037;0.017;0.037;0.02;0.01
21.5;-0.007;-0.002;0;0.005;-0.005;0.042;0.02;0.042;0.012;0.005
22;-0.005;-0.002;0;0.005;-0.005;0.051;0.024;0.044;0.015;0.017
22.5;-0.005;-0.002;-0.005;0.005;-0.005;0.029;0;0.027;0.032;0.022
23;-0.005;-0.005;-0.005;0;-0.007;0.034;0.017;0.037;0.02;0.005
23.5;-0.007;-0.005;-0.005;0.005;-0.005;0.037;0.017;0.039;0.02;0.017
24;-0.005;-0.005;-0.002;0.002;-0.007;0.032;0.007;0.032;0.022;0.024
24.5;-0.005;-0.002;-0.002;0.002;-0.005;0.039;0.015;0.037;0.024;0.01
25;-0.007;-0.005;-0.005;0;-0.005;0.037;0.015;0.037;0.015;0.01
25.5;-0.005;-0.002;0;0.005;-0.007;0.034;0.015;0.037;0.02;0.007
26;-0.005;-0.007;-0.007;0;-0.007;0.037;0.015;0.037;0.02;0.007
26.5;-0.005;-0.005;-0.005;0.002;-0.007;0.034;0.017;0.037;0.02;0.01
27;-0.005;-0.005;-0.005;0;0;0.037;0.017;0.039;0.02;0.012
27.5;-0.007;-0.005;0;0.002;-0.005;0.034;0.015;0.037;0.02;0.02
28;-0.005;-0.005;-0.005;0.002;-0.002;0.037;0.022;0.042;0.02;0.002
28.5;-0.005;-0.005;-0.007;0;-0.005;0.037;0.015;0.039;0.015;0.017
29;-0.005;-0.002;-0.002;0.005;-0.005;0.034;0.012;0.037;0.022;0.015
29.5;-0.002;-0.005;-0.005;0.002;-0.005;0.032;0.012;0.034;0.032;0.007
30;-0.005;-0.005;-0.002;0;-0.005;0.037;0.017;0.039;0.024;0.012
30.5;-0.007;-0.002;-0.002;0.002;-0.005;0.034;0.015;0.034;0.02;0.015
31;-0.005;-0.002;-0.007;0.002;-0.005;0.037;0.017;0.037;0.02;0.007
31.5;-0.007;-0.005;-0.002;0.005;-0.005;0.017;0.005;0.029;0.024;0.012
32;-0.005;-0.005;-0.002;0.002;-0.002;0.029;0.01;0.032;0.02;0.012
32.5;-0.005;-0.002;0;0.002;-0.005;0.024;0.005;0.024;0.017;0.005
33;-0.005;-0.002;-0.007;0.002;-0.002;0.002;-0.015;0.01;0.046;0.015
33.5;-0.005;-0.007;-0.005;0;-0.005;0.007;0;0.02;0.029;0.015
34;-0.007;-0.005;-0.005;0.002;-0.005;0.029;0.012;0.034;0.015;0.017
34.5;-0.005;-0.005;0.002;0.005;-0.002;0.012;-0.005;0.022;0.027;0.015
35;-0.005;-0.005;-0.005;0;-0.005;0.039;0.02;0.046;0.015;-0.01
35.5;-0.005;-0.005;0;0.005;-0.005;0.032;0.017;0.042;0.042;0.029
36;-0.005;-0.005;0.002;0.007;-0.005;0.02;-0.01;0.02;0.042;0.02
36.5;-0.005;-0.007;-0.007;0;-0.007;0.029;0.015;0.034;0.015;0.007
37;-0.005;-0.005;-0.002;0.002;-0.005;0.032;0.015;0.032;0.017;0.002
37.5;-0.005;-0.005;-0.002;0.005;-0.005;0.039;0.017;0.039;0.024;0.017
38;-0.007;-0.007;-0.005;0;-0.005;0.034;0.012;0.039;0.02;0.007
38.5;-0.005;-0.005;-0.002;0.002;-0.005;0.037;0.017;0.039;0.022;0.007
39;-0.007;-0.007;-0.01;0;-0.005;0.034;0.015;0.037;0.024;0.007
39.5;-0.005;-0.005;-0.005;-0.002;-0.007;0.039;0.015;0.039;0.022;0.012
40;-0.007;-0.005;-0.005;0.002;-0.007;0.039;0.02;0.039;0.02;0.017
40.5;-0.005;-0.005;-0.005;0.002;-0.007;0.037;0.012;0.037;0.02;0.007
41;-0.005;-0.007;-0.01;0;-0.005;0.034;0.015;0.039;0.02;0.012
41.5;-0.007;-0.007;-0.005;0;-0.005;0.037;0.015;0.034;0.022;0.012
42;-0.005;-0.002;-0.002;0.002;-0.005;0.039;0.017;0.042;0.015;0.005
42.5;-0.007;-0.007;-0.01;0;-0.005;0.037;0.012;0.037;0.024;0.012
43;-0.005;-0.005;-0.005;0.002;-0.005;0.032;0.012;0.034;0.022;0.007
43.5;-0.005;-0.007;-0.002;0.002;-0.005;0.037;0.012;0.037;0.022;0
44;-0.005;-0.007;-0.005;0.002;-0.007;0.037;0.017;0.039;0.02;0.005
44.5;-0.007;-0.007;-0.005;0.002;-0.002;0.034;0.015;0.034;0.017;0.017
45;-0.007;-0.005;-0.005;0.002;-0.007;0.032;0.012;0.037;0.022;0.01
45.5;-0.007;-0.007;-0.007;0.002;-0.005;0.039;0.017;0.039;0.02;0.012
46;-0.007;-0.005;-0.005;0.005;-0.002;0.037;0.017;0.037;0.017;0.012
46.5;-0.005;-0.005;-0.002;0;-0.007;0.044;0.022;0.046;0;0
47;-0.005;-0.005;-0.005;0;-0.005;0.037;0.02;0.039;0.017;0.015
